----------------------------------------------------------------------
SPECTRUM: CWW_E_ext
FILTER:        SDSS i + CCD, [MT]  no atmosphere (Ref. F. Castander)
rv.010      2.28600     0.268560
rv.009      2.39700     0.245315
rv.008      2.51800     0.221586
rv.007      2.64500     0.199339
rv.006      2.77600     0.180155
rv.005      2.91700     0.164619
rv.004      3.06500     0.154850
rv.003      3.22800     0.151308
rv.002      3.38400     0.153679
rv.001      3.56800     0.161705

