     #       wl_eff      surface    bandpass1  conv_AB
___________________________________________________

   139       15.538       22.136       15.450     -NaN
   140       76.343      116.907       80.832     -NaN
   141       94.820       94.994       83.329     -NaN
   142       86.501      113.086       86.485     -NaN
   143       79.975      111.576       81.964     -NaN
   144       15.352       22.712       15.517     -NaN
   145        9.853       15.086        9.831     -NaN
   146        9.316       14.316        9.252     -NaN
   147        8.875       13.042        8.667     -NaN
   148       59.112       90.661       63.574     -NaN
   149       36.238       61.137       39.128     -NaN
   150       59.381       99.520       66.253     -NaN
   151       12.038       21.774       12.728     -NaN
   152       13.549       24.711       14.457     -NaN
   153       15.061       27.641       16.186     -NaN
   154       22.892       37.258       24.197     -NaN
   155       20.418       32.213       21.299     -NaN
   156       32.907       53.588       35.115     -NaN
   157       24.277       40.781       25.947     -NaN
   158       11.981        9.991        9.856     -NaN
   159       11.728       16.429       11.484     -NaN
   160       13.256       19.221       13.218     -NaN
   161       13.281       17.194       13.333     -NaN
   162       12.500       19.370       12.689     -NaN
   163        5.131        4.575        3.947     -NaN
   164      107.510       60.876      116.788     -NaN
   165      107.800       73.210      113.332     -NaN
   166      108.582       98.752      114.579     -NaN
   167      110.667      125.737      113.809     -NaN
   168      109.807      146.262      115.587     -NaN
   169       47.152       50.336       42.701     -NaN
   170       46.022       48.636       41.696     -NaN
   171       47.153       50.345       42.698     -NaN
   172       47.152       50.336       42.701     -NaN
   173       47.152       50.336       42.701     -NaN
   174       47.152       50.336       42.701     -NaN
   175       53.432       30.609       58.159     -NaN
   176       58.577       68.750       55.717     -NaN
   177       70.636       93.112       70.748     -NaN
   178       96.875      102.355       87.723     -NaN
   179       94.724      101.341       86.341     -NaN
   180       92.342      153.596      102.657     -NaN
   181       90.511      149.903       98.404     -NaN
   182       41.905       49.171       43.321     -NaN
   183       28.827       46.081       30.495     -NaN
   184       56.725       85.605       59.586     -NaN
   185       54.178       87.140       58.072     -NaN
   186       61.359      100.073       66.154     -NaN
   187       70.708      116.185       76.523     -NaN
   188        4.712        5.985        4.114     -NaN
   189        5.106        7.463        4.668     -NaN
   190        5.626        8.251        5.256     -NaN
   191        2.552        2.822        1.912     -NaN
   192        2.550        2.827        1.912     -NaN
   193        6.775        9.663        6.379     -NaN
   194        7.249       10.807        6.941     -NaN
   195        6.729        9.858        6.381     -NaN
   196       10.400       15.867       10.388     -NaN
   197        7.046        8.537        6.344     -NaN
   198        7.462        7.262        6.157     -NaN
   199        7.462        7.262        6.157     -NaN
   200       32.117       50.672       33.920     -NaN
   201       32.396       52.653       34.538     -NaN
   202       33.728       56.407       36.299     -NaN
   203       66.657      108.553       71.897     -NaN
   204       11.155       16.137       10.883     -NaN
   205       81.888      121.740       84.608     -NaN
   206        7.338       10.286        6.943     -NaN
   207       13.452       18.440       13.167     -NaN
   208       89.666      144.007       96.548     -NaN
   209       91.900      129.423       94.423     -NaN
   210       97.085      129.026       96.662     -NaN
   211       75.212       96.176       73.004     -NaN
   212       75.665       92.964       72.412     -NaN
   213       19.639       22.884       18.777     -NaN
   214       15.935       19.941       15.452     -NaN
   215       27.344       27.788       25.361     -NaN
   216       18.386       21.953       17.678     -NaN
   217      106.764      167.394      114.211     -NaN
   218      107.204      165.532      114.111     -NaN
   219      107.988      162.350      113.915     -NaN
   220      110.209      153.945      113.243     -NaN
   221       70.621       93.632       73.123     -NaN
   222       63.222       72.516       63.127     -NaN
   223      187.733      245.534      195.114     -NaN
   224       26.848       42.061       28.173     -NaN
   225       27.785       35.613       27.160     -NaN
   226       41.238       58.618       42.238     -NaN
   227       53.237       84.918       56.901     -NaN
   228       52.308       89.225       57.050     -NaN
   229       42.561       65.165       44.748     -NaN
   230       53.448       83.994       56.859     -NaN
   231       26.396       44.159       28.245     -NaN
   232       20.814       33.677       21.894     -NaN
   233       51.820       64.845       50.647     -NaN
   234      174.334      202.265      165.918     -NaN
   235      170.000      214.906      168.166     -NaN
   236      171.264      211.059      167.560     -NaN
   237      177.263      194.530      164.122     -NaN
   238      174.558      201.651      165.789     -NaN
   239      169.688      215.880      168.310     -NaN
   240      172.572      207.222      166.890     -NaN
   241      176.883      195.500      164.368     -NaN
   242      171.264      211.059      167.560     -NaN
   243      178.186      192.214      163.508     -NaN
   244      176.604      196.219      164.546     -NaN
   245      176.604      196.219      164.546     -NaN
   246      187.876      170.857      155.606     -NaN
   247      171.541      210.234      167.422     -NaN
   248      165.450      230.000      170.020     -NaN
   249      160.467      249.167      171.475     -NaN
   250      174.334      202.265      165.918     -NaN
   251      158.962      255.597      171.798     -NaN
   252      160.145      250.514      171.548     -NaN
   253      165.450      230.000      170.020     -NaN
   254      165.157      231.045      170.122     -NaN
   255      158.442      257.898      171.897     -NaN
   256      164.343      234.000      170.395     -NaN
   257      170.434      213.571      167.963     -NaN
   258      168.907      218.349      168.658     -NaN
   259      173.756      203.864      166.246     -NaN
   260      156.706      265.890      172.183     -NaN
   261      167.667      225.000      169.969     -NaN
   262      135.058      205.357      143.198     -NaN
   263      220.048      311.111      227.778     -NaN
   264      132.721      215.278      143.713     -NaN
   265       51.981       94.444       57.707     -NaN
   266      154.000      283.019      173.103     -NaN
   267      127.590      240.809      144.305     -NaN
   268      105.762      175.000      115.079     -NaN
   269       78.273      137.500       86.487     -NaN
   270       78.027      138.750       86.511     -NaN
   271      104.030      183.333      115.314     -NaN
   272      220.048      311.111      227.778     -NaN
   273      102.419      191.837      115.438     -NaN
   274      141.884      256.094      158.629     -NaN
   275       63.819      123.117       72.171     -NaN
   276      170.697      270.769      183.733     -NaN
   277       64.018      121.966       72.166     -NaN
   278      114.755      217.716      129.882     -NaN
   279      267.094      416.000      286.181     -NaN
   280      263.325      429.110      286.284     -NaN
   281      214.889      331.034      229.265     -NaN
   282        7.938       10.833        7.499     -NaN
   283       16.337       21.778       15.964     -NaN
   284     1334.334     2083.333     1433.721   10.426
   285      750.495     1155.000      802.206   12.979
   286      738.985     1204.000      804.713   13.086
   287      738.985     1203.994      804.713   13.086
   288     1078.344     1635.439     1164.352   10.857
   289      528.334      844.557      576.839   25.223
   290      314.649      292.662      304.147     -NaN
   291      314.649      292.662      304.147     -NaN
   292      205.368      180.294      195.707     -NaN
   293      329.007      183.119      287.600     -NaN
   294      328.341      182.929      286.995     -NaN
   295      329.007      183.119      287.600     -NaN
